,Screen_Size,Screen_Tech,Screen_Body_Ratio,CPU_Model,CPU_Freq,GPU_Model,RAM,Operating_System,CPU_Tickness,GPU_Freq,RAM_Type,Camera_Resolution,Selfie_Camera_Resolution,Width,Height,Tickness,Weight,Charge_Type,Battery_Size,Storage_Capacity,Release_Year,PRICE
15,6.67 inç,IPS LCD,84.6 %,Qualcomm Snapdragon 860,2.96 GHz,Adreno 640,8 GB RAM,Android 11,7 nm,Missing,LPDDR4x,48 MP,20 MP,76.8 mm,6.67 inç,9.4 mm,215 gr,USB Type-C,5160 mAh,256 GB,2021,"4.890,20 TL"
16,6.51 inç,IPS LCD,80.98 %,UNISOC SC9863A,1.6 GHz,PowerVR GE8322,3 GB RAM,Android 11,28 nm,550 MHz,Missing,13 MP,8 Mp,76.26 mm,6.51 inç,9 mm,200 gr,Missing,5000 mAh,32 GB,2021,"1.735,00 TL"
17,6.67 inç,AMOLED,85.6 %,Qualcomm SM7150 Snapdragon 732G,2.3 GHz,Adreno 618,8 GB RAM,Android 11,8 nm,Missing,LPDDR4x,108 MP,16 MP,76.5 mm,6.67 inç,8.1 mm,193 gr,USB Type-C,5020 mAh,128 GB,2021,"5.800,00 TL"
18,6.43 inç,AMOLED,83.5 %,Mediatek Helio G95,2.05 GHz,Mali-G76 MC4,6 GB RAM,Android 11,12 nm,Missing,LPDDR4x,64 MP,13 MP,74.5 mm,6.43 inç,8.3 mm,178.8 gr,USB Type-C,5000 mAh,128 GB,2021,"3.599,00 TL"
19,6.67 inç,IPS LCD,84.6 %,Qualcomm Snapdragon 860,2.96 GHz,Adreno 640,8 GB RAM,Android 11,7 nm,Missing,LPDDR4x,48 MP,20 MP,76.8 mm,6.67 inç,9.4 mm,215 gr,USB Type-C,5160 mAh,256 GB,2021,"4.894,12 TL"
20,6.1 inç,OLED,86.0 %,Apple A14 Bionic,3.1 GHz,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,164 gr,Lightning,2775 mAh,64 GB,2020,"12.799,00 TL"
21,6.67 inç,IPS LCD,84.6 %,Qualcomm Snapdragon 860,2.96 GHz,Adreno 640,6 GB RAM,Android 11,7 nm,Missing,LPDDR4x,48 MP,20 MP,76.8 mm,6.67 inç,9.4 mm,215 gr,USB Type-C,5160 mAh,128 GB,2021,"4.239,90 TL"
22,6.67 inç,IPS LCD,84.6 %,Qualcomm Snapdragon 860,2.96 GHz,Adreno 640,8 GB RAM,Android 11,7 nm,Missing,LPDDR4x,48 MP,20 MP,76.8 mm,6.67 inç,9.4 mm,215 gr,USB Type-C,5160 mAh,256 GB,2021,"4.898,99 TL"
23,6.4 inç,Super AMOLED,84.6 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,6 GB RAM,Android 11,12 nm,950 MHz,LPDDR4x,64 MP,20 MP,73.6 mm,6.4 inç,8.4 mm,184 gr,USB Type-C,5000 mAh,128 GB,2021,"3.839,00 TL"
24,6.43 inç,AMOLED,85.2 %,Mediatek MT6779V Helio P95,2.2 GHz,PowerVR GM9446,8 GB RAM,Android 11,12 nm,970 MHz,LPDDR4x,48 MP,32 MP,73.2 mm,6.43 inç,7.8 mm,172 gr,USB Type-C,4310 mAh,128 GB,2021,"3.899,00 TL"
25,6.5 inç,Super AMOLED,86.1 %,Exynos 9611,2.3 GHz,Mali-G72 MP3,6 GB RAM,Android 10.0,10 nm,Missing,LPDDR4x,64 MP,32 MP,74.4 mm,6.5 inç,9.3 mm,203 gr,USB Type-C,6000 mAh,128 GB,2020,"3.649,00 TL"
26,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,138 g,Missing,Missing,Missing,Missing,"6.450,00 TL"
27,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,64 GB,2019,"10.199,00 TL"
28,6.55 inç,AMOLED,85.3 %,Qualcomm SM7150 Snapdragon 732G,2.3 GHz,Adreno 618,6 GB RAM,Android 11,8 nm,800 MHz,LPDDR4x,64 MP,16 MP,75.7 mm,6.55 inç,6.8 mm,157 gr,USB Type-C,4520 mAh,128 GB,2021,"5.909,90 TL"
29,6.57 inç,OLED,89.9 %,Qualcomm SM7325 Snapdragon 778G 4G,2.4 GHz,Adreno 642L,8 GB RAM,HarmonyOS 2,6 nm,Missing,Missing,64 MP,32 MP,73.7 mm,6.57 inç,7.8 mm,175 gr,USB Type-C,4300 mAh,128 GB,2021,"9.170,00 TL"
30,6.55 inç,AMOLED,85.3 %,Qualcomm SM7150 Snapdragon 732G,2.3 GHz,Adreno 618,6 GB RAM,Android 11,8 nm,800 MHz,LPDDR4x,64 MP,16 MP,75.7 mm,6.55 inç,6.8 mm,157 gr,USB Type-C,4520 mAh,128 GB,2021,"5.866,34 TL"
31,6.7 inç,Super AMOLED,84.9 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,8 GB RAM,Android 11,8 nm,750 MHz,Missing,64 MP,32 MP,77.4 mm,6.7 inç,8.4 mm,203 gr,USB Type-C,5000 mAh,128 GB,2021,"6.300,00 TL"
32,6.5 inç,Super AMOLED,84.8 %,Exynos 990,2.73 GHz,Mali-G77 MP11,6 GB RAM,Android 10.0,7 nm+,Missing,LPDDR5,12 MP,8 Mp,74.5 mm,6.5 inç,8.4 mm,190 gr,USB Type-C,4500 mAh,128 GB,2020,"6.445,36 TL"
33,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,128 GB,2019,"10.919,00 TL"
34,6.4 inç,Super AMOLED,84.6 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,6 GB RAM,Android 11,12 nm,950 MHz,LPDDR4x,64 MP,20 MP,73.6 mm,6.4 inç,8.4 mm,184 gr,USB Type-C,5000 mAh,128 GB,2021,"3.764,00 TL"
35,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,5x Apple GPU,6 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,204 gr,Lightning,3125 mAh,128 GB,2021,"21.059,00 TL"
36,6.43 inç,AMOLED,84.4 %,Qualcomm SM6115 Snapdragon 662,2.0 GHz,Adreno 610,4 GB RAM,Android 11,11 nm,950 MHz,LPDDR4x,48 MP,16 MP,73.8 mm,6.43 inç,8 mm,175 gr,USB Type-C,5000 mAh,128 GB,2021,"3.165,12 TL"
37,6.7 inç,Super AMOLED,84.9 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,8 GB RAM,Android 11,8 nm,750 MHz,Missing,64 MP,32 MP,77.4 mm,6.7 inç,8.4 mm,203 gr,USB Type-C,5000 mAh,128 GB,2021,"6.300,00 TL"
38,6.43 inç,AMOLED,85.2 %,Mediatek MT6779V Helio P95,2.2 GHz,PowerVR GM9446,8 GB RAM,Android 11,12 nm,970 MHz,LPDDR4x,48 MP,32 MP,73.2 mm,6.43 inç,7.8 mm,172 gr,USB Type-C,4310 mAh,128 GB,2021,"3.899,00 TL"
39,6.67 inç,IPS LCD,84.6 %,Qualcomm Snapdragon 860,2.96 GHz,Adreno 640,8 GB RAM,Android 11,7 nm,Missing,LPDDR4x,48 MP,20 MP,76.8 mm,6.67 inç,9.4 mm,215 gr,USB Type-C,5160 mAh,256 GB,2021,"4.890,20 TL"
40,6.7 inç,OLED,87.4 %,Apple A14 Bionic,Missing,Apple Quad-Core,6 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,78.1 mm,6.7 inç,7.4 mm,228 gr,Lightning,3687 mAh,128 GB,2020,"20.349,00 TL"
41,6.4 inç,Super AMOLED,84.2 %,Exynos 9611,2.3 GHz,Mali-G72 MP3,4 GB RAM,Android 10.0,10 nm,Missing,LPDDR4x,48 MP,20 MP,75.1 mm,6.4 inç,8.9 mm,188 gr,USB Type-C,6000 mAh,64 GB,2020,"2.792,02 TL"
42,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,256 GB,2019,"11.989,00 TL"
43,6.7 inç,Super AMOLED,84.9 %,Qualcomm SM7125 Snapdragon 720G,2.3 GHz,Adreno 618,8 GB RAM,Android 11,8 nm,750 MHz,Missing,64 MP,32 MP,77.4 mm,6.7 inç,8.4 mm,203 gr,USB Type-C,5000 mAh,128 GB,2021,"6.482,70 TL"
