,Screen_Size,Screen_Tech,Screen_Body_Ratio,CPU_Model,CPU_Freq,GPU_Model,RAM,Operating_System,CPU_Tickness,GPU_Freq,RAM_Type,Camera_Resolution,Selfie_Camera_Resolution,Width,Height,Tickness,Weight,Charge_Type,Battery_Size,Storage_Capacity,Release_Year,PRICE
607,6.0 inç,Super AMOLED,75.49 %,Qualcomm MSM8976 Pro Snapdragon 653,1.95 GHz,Adreno 510,6 GB RAM,Android 6.0.1 (Marshmallow),28 nm,550 MHz,LPDDR3,16 MP,16 MP,8.07 mm,6.0 inç,6.9 mm,188 gr,USB Type-C,4000 mAh,64 GB,2016,"3.699,00 TL"
608,6.2 inç,Super AMOLED,83.33 %,Samsung Exynos 9 Octa 8895,2.3 GHz,Mali-G71 MP20,4 GB RAM,Android 7.0 (Nougat),10 nm,550 MHz,LPDDR4x,12 MP,8 Mp,73.4 mm,6.2 inç,8.1 mm,173 gr,USB Type-C,3500 mAh,64 GB,2017,"7.349,02 TL"
609,5.5 inç,Super AMOLED,69.62 %,Samsung Exynos 7 Octa 7870,1.6 GHz,Mali-T830 MP1,2 GB RAM,Android 7.0 (Nougat),Missing,Missing,Missing,13 MP,5 MP,78.6 mm,5.5 inç,7.6 mm,170 gr,Micro-USB,3000 mAh,16 GB,2017,"1.715,00 TL"
610,5.6 inç,Super AMOLED,75.94 %,Samsung Exynos 7 Octa 7870,1.6 GHz,Mali-T830 MP1,3 GB RAM,Android 8.0 (Oreo),14 nm,700 MHz,Missing,13 MP,8 Mp,70.2 mm,5.6 inç,8.2 mm,154 gr,Micro-USB,3000 mAh,32 GB,2018,"4.799,00 TL"
611,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,188 g,Missing,Missing,Missing,Missing,"9.999,00 TL"
612,6.67 inç,Super AMOLED,89.8 %,Qualcomm SM8250 Snapdragon 865,2.84 GHz,Adreno 650,8 GB RAM,Android 10.0,7 nm+,587 MHz,LPDDR5,108 MP,20 MP,74.8 mm,6.67 inç,9 mm,208 gr,USB Type-C,4780 mAh,256 GB,2020,"11.580,06 TL"
613,5.99 inç,IPS LCD,77.43 %,Qualcomm SDM636 Snapdragon 636,1.8 GHz,Adreno 509,4 GB RAM,Android 7.1.2 (Nougat),14 nm,850 MHz,LPDDR4x,16 MP,13 MP,75.4 mm,5.99 inç,8.05 mm,181 gr,Micro-USB,4000 mAh,64 GB,2018,"2.999,00 TL"
614,6.41 inç,AMOLED,83.59 %,Qualcomm SDM660 Snapdragon 660,2.2 GHz,Adreno 512,4 GB RAM,Android 8.1 (Oreo),14 nm,650 MHz,LPDDR4x,16 MP,25 MP,75.5 mm,6.41 inç,7.4 mm,156 gr,Micro-USB,3600 mAh,128 GB,2018,"4.507,02 TL"
615,5.5 inç,Super AMOLED,73.11 %,Samsung Exynos 7 Octa 7870,1.6 GHz,Mali-T830 MP1,3 GB RAM,Android 7.0 (Nougat),14 nm,700 MHz,LPDDR3,13 MP,13 MP,74.8 mm,5.5 inç,8 mm,181 gr,Micro-USB,3600 mAh,64 GB,2017,"3.099,00 TL"
616,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,171 g,Missing,Missing,Missing,Missing,"2.743,02 TL"
617,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,159 g,Missing,Missing,Missing,Missing,"2.799,00 TL"
618,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,180 g,Missing,Missing,Missing,Missing,"204,28 TL"
619,6.53 inç,IPS LCD,84.81 %,MediaTek Helio P60,2.0 GHz,Mali-G72 MP3,6 GB RAM,Android 10 (Q),12 nm,800 MHz,Missing,48 MP,25 MP,76 mm,6.53 inç,8.8 mm,173 gr,USB Type-C,4500 mAh,128 GB,2020,"2.082,90 TL"
620,6.47 inç,OLED,88.25 %,HiSilicon Kirin 980,2.6 GHz,Mali-G76 MP10,6 GB RAM,Android 9.0 (Pie),7 nm,720 MHz,LPDDR4x,40 MP,32 MP,73.4 mm,6.47 inç,8.41 mm,192 gr,USB Type-C,4200 mAh,128 GB,2019,"13.230,00 TL"
621,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"566,00 TL"
622,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"327,99 TL"
623,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"2.599,00 TL"
624,6.22 inç,IPS LCD,81.07 %,Qualcomm SDM439 Snapdragon 439,1.95 GHz,Adreno 505,2 GB RAM,Android 9.0 (Pie),Missing,Missing,Missing,12 MP,12 MP,75.41 mm,6.22 inç,9.4 mm,188 gr,USB Type-C,5000 mAh,32 GB,2019,"2.599,99 TL"
625,6.4 inç,Super AMOLED,84.5 %,Samsung Exynos 7 Series 9610,2.3 GHz,Mali-G72 MP3,6 GB RAM,Android 9.0 (Pie),10 nm,Missing,LPDDR4x,25 MP,25 MP,74.7 mm,6.4 inç,7.7 mm,166 gr,USB Type-C,4000 mAh,128 GB,2019,"3.799,00 TL"
626,6.5 inç,IPS LCD,83.4%,Qualcomm SM6125 Snapdragon 665,2.0 GHz,Adreno 610,4 GB RAM,Android 10.0,11 nm,Missing,LPDDR4x,48 MP,16 MP,75.5 mm,6.5 inç,8.9 mm,192 gr,USB Type-C,5000 mAh,128 GB,2020,"3.898,00 TL"
627,5.99 inç,IPS LCD,77.43 %,Qualcomm SDM636 Snapdragon 636,1.8 GHz,Adreno 509,4 GB RAM,Android 7.1.2 (Nougat),14 nm,850 MHz,LPDDR4x,16 MP,13 MP,75.4 mm,5.99 inç,8.05 mm,181 gr,Micro-USB,4000 mAh,64 GB,2018,"2.999,00 TL"
628,6.4 inç,Super AMOLED,84.6 %,Mediatek Helio G80,2.0 GHz,Mali-G52 MC2,4 GB RAM,Android 11,12 nm,950 MHz,LPDDR4x,64 MP,20 MP,73.6 mm,6.4 inç,8.4 mm,184 gr,USB Type-C,5000 mAh,64 GB,2021,"4.148,00 TL"
629,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"906,49 TL"
630,6.26 inç,IPS LCD,81.56 %,Qualcomm SDM660 Snapdragon 660,2.2 GHz,Adreno 512,6 GB RAM,Android 8.1 (Oreo),14 nm,650 MHz,LPDDR4x,12 MP,24 MP,75.8 mm,6.26 inç,7.5 mm,169 gr,USB Type-C,3350 mAh,128 GB,2018,"4.324,00 TL"
631,6.56 inç,AMOLED,90.6 %,Qualcomm SM7250 Snapdragon 765G,2.4 GHz,Adreno 620,8 GB RAM,Android 10.0,7 nm,625 MHz,LPDDR4x,48 MP,32 MP,72.8 mm,6.56 inç,8 mm,181.5 gr,USB Type-C,4315 mAh,256 GB,2020,"9.299,00 TL"
632,6.5 inç,IPS LCD,83.4 %,Qualcomm SM6125 Snapdragon 665,2.0 GHz,Adreno 610,4 GB RAM,Android 10.0,11 nm,Missing,LPDDR4x,12 MP,16 MP,75.5 mm,6.5 inç,8.9 mm,192 gr,USB Type-C,5000 mAh,64 GB,2020,"3.449,60 TL"
633,6.41 inç,AMOLED,83.59 %,Qualcomm SDM660 Snapdragon 660,2.2 GHz,Adreno 512,4 GB RAM,Android 8.1 (Oreo),14 nm,650 MHz,LPDDR4x,16 MP,25 MP,75.5 mm,6.41 inç,7.4 mm,156 gr,Micro-USB,3600 mAh,128 GB,2018,"4.507,02 TL"
634,5.45 İnç,IPS LCD,73.8 %,MediaTek MT6739,1.5 GHz,PowerVR GE8100,2 GB RAM,Android 8.1 (Oreo),28 nm,570 MHz,LPDDR3,8 MP,5 MP,70.9 mm,5.45 İnç,8.3 mm,142 gr,Micro-USB,3020 mAh,16 GB,2018,"1.499,00 TL"
635,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"329,99 TL"
636,6.5 inç,IPS LCD,81.34 %,Huawei Kirin 710,2.2 GHz,Mali-G51 MP4,4 GB RAM,Android 8.1 (Oreo),Missing,Missing,Missing,13 MP,16 MP,77.1 mm,6.5 inç,8.05 mm,173 gr,Micro-USB,4000 mAh,64 GB,2018,"3.099,99 TL"
637,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"730,10 TL"
638,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"378,00 TL"
639,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"470,00 TL"
640,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"470,00 TL"
641,5.8 inç,OLED,82.1 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,71.4 mm,5.8 inç,8.1 mm,188 gr,Lightning,Missing,512 GB,2019,"19.050,00 TL"
642,6.5 inç,IPS LCD,83.4 %,Mediatek Helio G95,2.05 GHz,Mali-G76 MC4,6 GB RAM,Android 10.0,12 nm,900 MHz,LPDDR4x,64 MP,16 MP,75.4 mm,6.5 inç,9.4 mm,196.5 gr,USB Type-C,5000 mAh,64 GB,2020,"5.050,00 TL"
643,6.95 inç,IPS LCD,84.8 %,Mediatek Helio G95,2.05 GHz,Mali-G76 MC4,8 GB RAM,Android 11,12 nm,900 MHz,Missing,64 MP,16 MP,78.3 mm,6.95 inç,7.8 mm,Missing,USB Type-C,5000 mAh,128 GB,2021,"3.772,02 TL"
644,6.44 inç,AMOLED,84.8 %,MediaTek MT6853 Dimensity 800U 5G,2.4 GHz,Mali-G57 MC3,8 GB RAM,Android 11,7 nm,Missing,Missing,64 MP,44 MP,73.9 mm,6.44 inç,7.3 mm,176 gr,USB Type-C,4000 mAh,128 GB,2021,"6.999,00 TL"
645,6.49 inç,IPS LCD,82.16 %,MediaTek MT6757CD (Helio P25),2.6 GHz,Mali-T880 MP2,4 GB RAM,Android 10 (Q),16 nm,1000 MHz,LPDDR4x,13 MP,8 Mp,77 mm,6.49 inç,8.8 mm,180 gr,USB Type-C,4680 mAh,64 GB,2020,"1.699,00 TL"
646,4.7 inç,IPS LCD,65.4 %,Apple A13 Bionic,2.65 GHz,Apple GPU,3 GB RAM,iOS 13,7 nm+,Missing,Missing,12 MP,7 MP,67.3 mm,4.7 inç,7.3 mm,148 gr,Lightning,1821 mAh,256 GB,2020,"8.200,00 TL"
647,6.18 inç,IPS LCD,80.84 %,MediaTek MT6763T Helio P23,2.5 GHz,Mali-G71 MP2,4 GB RAM,Android 8.1 (Oreo),16 nm,770 MHz,LPDDR4x,16 MP,16 MP,75.6 mm,6.18 inç,7.9 mm,168 gr,USB Type-C,3300 mAh,64 GB,2018,"2.599,00 TL"
648,5.8 inç,PLS IPS,80.4 %,Exynos 7884,1.6 GHz,Mali-G71 MP2,3 GB RAM,Android 9.0 (Pie),14 nm,Missing,LPDDR4,13 MP,8 Mp,69.7 mm,5.8 inç,8.4 mm,141 gr,USB Type-C,3000 mAh,32 GB,2019,"2.499,00 TL"
649,6.53 inç,IPS LCD,83.8 %,Mediatek MT6765 Helio P35,2.3 GHz,PowerVR GE8320,6 GB RAM,Android 10.0,12 nm,Missing,Missing,48 MP,16 MP,76.9 mm,6.53 inç,9 mm,195 gr,Micro-USB,4000 mAh,128 GB,2020,"2.713,00 TL"
650,6.78 inç,IPS LCD,82.2 %,Mediatek Helio G70,2.0 GHz,Mali-G52 2EEMC2,4 GB RAM,Android 10.0,12 nm,Missing,Missing,16 MP,8 Mp,77.6 mm,6.78 inç,8.9 mm,195 gr,Micro-USB,5200 mAh,64 GB,2020,"2.499,00 TL"
651,6.44 inç,Fluid AMOLED,86.7 %,Qualcomm SM7250 Snapdragon 765G 5G,2.4 GHz,Adreno 620,12 GB RAM,Android 10.0,7 nm,625 MHz,LPDDR4x,48 MP,32 MP,73.3 mm,6.44 inç,8.2 mm,184 gr,USB Type-C,4115 mAh,256 GB,2020,"6.489,00 TL"
652,5.99 inç,IPS LCD,76.26 %,Qualcomm MSM8937 Snapdragon 430,1.4 GHz,Adreno 505,2 GB RAM,Android 8.0 (Oreo),28 nm,450 MHz,LPDDR3,13 MP,8 Mp,76.7 mm,5.99 inç,7.8 mm,155 gr,Micro-USB,3000 mAh,16 GB,2018,"2.303,00 TL"
653,6.26 inç,IPS LCD,77.87 %,UNISOC SC9863A,1.6 GHz,PowerVR GE8322,4 GB RAM,Android 11,28 nm,550 MHz,LPDDR4x,8 MP,5 MP,77.2 mm,6.26 inç,9.25 mm,190 gr,Micro-USB,3800 mAh,64 GB,2021,"1.769,00 TL"
654,6.67 inç,AMOLED,88.1 %,Qualcomm SDM855 Snapdragon 855+,2.96 GHz,Adreno 640,8 GB RAM,Android 10 (Q),7 nm,700 MHz,Missing,48 MP,16 MP,75.9 mm,6.67 inç,8.8 mm,206 gr,USB Type-C,4085 mAh,256 GB,2019,"9.503,20 TL"
655,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"399,00 TL"
656,6.0 inç,TFT LCD,73.61 %,Qualcomm MSM8917 Snapdragon 425,1.4 GHz,Adreno 308,2 GB RAM,Android 8.1 (Oreo),28 nm,500 MHz,LPDDR3,13 MP,5 MP,76.9 mm,6.0 inç,7.9 mm,178 gr,Micro-USB,3300 mAh,16 GB,2018,"3.099,99 TL"
657,6.2 inç,IPS LCD,81.8 %,Qualcomm SDM439 Snapdragon 439,1.95 GHz,Adreno 505,4 GB RAM,Android 9.0 (Pie),12 nm,650 MHz,LPDDR3,12 MP,8 Mp,75.4 mm,6.2 inç,9.4 mm,188 gr,USB Type-C,5000 mAh,64 GB,2019,"2.799,00 TL"
658,6.0 inç,OLED,80.87 %,HiSilicon Kirin 970,2.36 GHz,Mali-G72 MP12,4 GB RAM,Android 8.0 (Oreo),10 nm,767 MHz,LPDDR4x,12 MP,8 Mp,74.5 mm,6.0 inç,7.9 mm,178 gr,USB Type-C,4000 mAh,128 GB,2017,"4.999,99 TL"
659,4.7 inç,IPS LCD,64.89 %,MediaTek MT6592M,1.4 GHz,Mali-450 MP4,2 GB RAM,Android 4.4.2 (KitKat),28 nm,600 MHz,LPDDR2,13 MP,5 MP,68 mm,4.7 inç,7.6 mm,124 gr,Micro-USB,2000 mAh,16 GB,2014,"1.299,00 TL"
660,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"9.198,40 TL"
661,6.14 inç,Super AMOLED,Missing,Qualcomm SDM450 Snapdragon 450,1.8 GHz,Adreno 506,3 GB RAM,Android 10.0,14 nm,650 MHz,LPDDR4,13 MP,8 Mp,Missing,6.14 inç,Missing,Missing,USB Type-C,5000 mAh,32 GB,2020,"2.668,05 TL"
662,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,192 g,Missing,Missing,Missing,Missing,"8.999,00 TL"
663,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"350,00 TL"
664,6.26 inç,IPS LCD,81.56 %,Qualcomm SDM660 Snapdragon 660,2.2 GHz,Adreno 512,6 GB RAM,Android 8.1 (Oreo),14 nm,650 MHz,LPDDR4x,12 MP,24 MP,75.8 mm,6.26 inç,7.5 mm,169 gr,USB Type-C,3350 mAh,128 GB,2018,"4.324,00 TL"
665,5.5 inç,PLS,73.3 %,Samsung Exynos 7 Octa 7870,1.6 GHz,Mali-T830 MP1,3 GB RAM,Android 7.1.1 (Nougat),14 nm,Missing,LPDDR3,13 MP,13 MP,75 mm,5.5 inç,8 mm,170 gr,Micro-USB,3300 mAh,32 GB,2018,"2.399,00 TL"
666,5.65 inç,IPS LCD,76.63 %,Qualcomm SDM630 Snapdragon 630,2.2 GHz,Adreno 508,4 GB RAM,Android 8.0 (Oreo),14 nm,650 MHz,LPDDR4,16 MP,8 Mp,72.1 mm,5.65 inç,7.9 mm,185 gr,USB Type-C,3400 mAh,64 GB,2018,"2.379,00 TL"
667,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,89 g,Missing,Missing,Missing,Missing,"299,00 TL"
668,6.53 inç,IPS LCD,81.0 %,MediaTek MT6762G Helio G25,2.0 GHz,PowerVR GE8320,4 GB RAM,Android 10.0,12 nm,Missing,LPDDR4x,13 MP,5 MP,77.1 mm,6.53 inç,9 mm,194 gr,Micro-USB,5000 mAh,64 GB,2020,"2.449,02 TL"
669,6.6 inç,IPS LCD,82.9 %,Mediatek MT6761 Helio A22,2.0 GHz,PowerVR GE8320,2 GB RAM,Android 9.0 (Pie),12 nm,Missing,Missing,8 MP,5 MP,76 mm,6.6 inç,8.3 mm,183 gr,Micro-USB,4000 mAh,32 GB,2019,"1.799,00 TL"
670,5.4 inç,OLED,85.1 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,64.2 mm,5.4 inç,7.4 mm,135 gr,Lightning,Missing,128 GB,2020,"17.499,00 TL"
671,6.78 inç,IPS LCD,82.2 %,Mediatek Helio G70,2.0 GHz,Mali-G52 2EEMC2,4 GB RAM,Android 10.0,12 nm,Missing,Missing,16 MP,8 Mp,77.6 mm,6.78 inç,8.9 mm,195 gr,Micro-USB,5200 mAh,128 GB,2020,"2.499,00 TL"
672,6.95 inç,IPS LCD,84.8 %,Mediatek Helio G95,2.05 GHz,Mali-G76 MC4,8 GB RAM,Android 11,12 nm,900 MHz,Missing,64 MP,16 MP,78.3 mm,6.95 inç,7.8 mm,Missing,USB Type-C,5000 mAh,128 GB,2021,"3.772,02 TL"
673,5.8 inç,PLS IPS,80.4 %,Exynos 7884,1.6 GHz,Mali-G71 MP2,3 GB RAM,Android 9.0 (Pie),14 nm,Missing,LPDDR4,13 MP,8 Mp,69.7 mm,5.8 inç,8.4 mm,141 gr,USB Type-C,3000 mAh,32 GB,2019,"2.699,00 TL"
674,6.5 inç,OLED,83.39 %,Apple A12 Bionic,2.5 GHz,Apple G11P MP4,4 GB RAM,iOS 12,7 nm,Missing,LPDDR4x,12 MP,7 MP,77.4 mm,6.5 inç,7.7 mm,208 gr,Lightning,3174 mAh,256 GB,2018,"16.999,00 TL"
675,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"2.595,04 TL"
676,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,11 nm,Missing,LPDDR4x,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"4.899,02 TL"
677,Missing,Missing,84.35 %,Missing,Missing,Missing,Missing,Missing,12 nm,1000 MHz,Missing,16 MP,16 MP,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"3.968,02 TL"
678,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,91 g,Missing,Missing,Missing,Missing,"399,00 TL"
679,6.26 inç,IPS LCD,84.31 %,HiSilicon Kirin 980,2.6 GHz,Mali-G76 MP10,6 GB RAM,Android 9.0 (Pie),7 nm,720 MHz,LPDDR4x,48 MP,32 MP,73.97 mm,6.26 inç,7.87 mm,174 gr,USB Type-C,3750 mAh,128 GB,2019,"7.349,02 TL"
680,6.26 inç,IPS LCD,84.31 %,HiSilicon Kirin 980,2.6 GHz,Mali-G76 MP10,6 GB RAM,Android 9.0 (Pie),7 nm,720 MHz,LPDDR4x,48 MP,32 MP,73.97 mm,6.26 inç,7.87 mm,174 gr,USB Type-C,3750 mAh,128 GB,2019,"7.349,02 TL"
681,6.1 inç,IPS LCD,78.31 %,Apple A12 Bionic,2.5 GHz,Apple G11P MP4,3 GB RAM,iOS 12,7 nm,Missing,LPDDR4x,12 MP,7 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,2942 mAh,128 GB,2018,"10.149,00 TL"
682,6.47 inç,AMOLED,87.8 %,Qualcomm SDM730 Snapdragon 730G,2.2 GHz,Adreno 618,8 GB RAM,Android 10.0,8 nm,700 MHz,LPDDR4x,64 MP,16 MP,74.2 mm,6.47 inç,9.7 mm,204 gr,USB Type-C,5260 mAh,128 GB,2020,"9.799,02 TL"
683,6.22 inç,IPS LCD,80.71 %,MediaTek MT6762 Helio P22,2.0 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),Missing,Missing,Missing,13 MP,13 MP,75.5 mm,6.22 inç,8.1 mm,165 gr,Micro-USB,3500 mAh,128 GB,2019,"2.549,00 TL"
684,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,188 g,Missing,Missing,Missing,Missing,"11.699,99 TL"
685,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"369,99 TL"
686,6.53 inç,IPS LCD,85.4 %,Qualcomm SM6125 Snapdragon 665,2.0 GHz,Adreno 610,6 GB RAM,Android 10.0,11 nm,Missing,Missing,48 MP,16 MP,75.6 mm,6.53 inç,8.4 mm,180 gr,USB Type-C,4000 mAh,256 GB,2020,"3.899,00 TL"
687,6.5 inç,IPS LCD,83.7 %,MediaTek MT6833 Dimensity 700 5G,2.2 GHz,Mali-G57 MC2,4 GB RAM,Android 11,7 nm,955 MHz,LPDDR4x,48 MP,8 Mp,75.3 mm,6.5 inç,8.9 mm,190 gr,USB Type-C,5000 mAh,128 GB,2021,"4.644,22 TL"
688,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"1.799,00 TL"
689,6.22 inç,IPS LCD,82.0 %,Mediatek MT6765 Helio P35,2.35 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),12 nm,680 MHz,Missing,13 MP,5 MP,75.5 mm,6.22 inç,8.3 mm,165 gr,Micro-USB,4230 mAh,32 GB,2020,"2.349,00 TL"
690,5.71 inç,IPS LCD,78.1 %,Mediatek MT6761 Helio A22,2.0 GHz,PowerVR GE8320,3 GB RAM,Android 9.0 (Pie),12 nm,Missing,Missing,13 MP,5 MP,70.8 mm,5.71 inç,8.5 mm,146 gr,Micro-USB,3020 mAh,64 GB,2019,"2.547,02 TL"
691,6.82 inç,IPS LCD,82.4 %,MediaTek Helio A22 (MT6761),2.0 GHz,PowerVR GE8320,4 GB RAM,Android 9.0 (Pie),12 nm,Missing,LPDDR4x,13 MP,8 Mp,78 mm,6.82 inç,8.9 mm,209 gr,Micro-USB,6000 mAh,64 GB,2020,"2.349,00 TL"
692,6.53 inç,IPS LCD,84.2 %,Qualcomm SDM675 Snapdragon 675,2.0 GHz,Adreno 612,6 GB RAM,Android 9.0 (Pie),11 nm,845 MHz,LPDDR4x,48 MP,24 MP,76.56 mm,6.53 inç,7.99 mm,192 gr,USB Type-C,3820 mAh,128 GB,2019,"3.919,02 TL"
693,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,0
694,2.4 inç,TFT,33.6 %,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1.3 MP,Missing,52 mm,2.4 inç,16.8 mm,97.3 gr,Missing,800 mAh,28 MB,2011,"377,99 TL"
695,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,16:9,Missing,Missing,160 g,Missing,Missing,Missing,Missing,"1.469,02 TL"
696,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"7.599,00 TL"
697,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"4.158,00 TL"
698,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"285,00 TL"
699,6.78 inç,IPS LCD,82.2 %,Mediatek Helio G70,2.0 GHz,Mali-G52 2EEMC2,4 GB RAM,Android 10.0,12 nm,Missing,Missing,16 MP,8 Mp,77.6 mm,6.78 inç,8.9 mm,195 gr,Micro-USB,5200 mAh,128 GB,2020,"2.499,00 TL"
700,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,"101,8 g",Missing,Missing,Missing,Missing,"516,00 TL"
701,6.95 inç,IPS LCD,84.5 %,Mediatek Helio G96,2.05 GHz,Mali-G57 MC2,8 GB RAM,Android 11,12 nm,900 MHz,LPDDR4x,64 MP,16 MP,78.4 mm,6.95 inç,8.7 mm,209 gr,USB Type-C,5000 mAh,128 GB,2021,"4.164,02 TL"
702,5.99 inç,IPS LCD,77.43 %,Qualcomm MSM8953 Snapdragon 625,2.0 GHz,Adreno 506,4 GB RAM,Android 7.1.2 (Nougat),14 nm,650 MHz,LPDDR3,12 MP,5 MP,75.45 mm,5.99 inç,8.05 mm,180 gr,Micro-USB,4000 mAh,64 GB,2017,"2.749,00 TL"
703,1.52 inç,CSTN TFT,16.5 %,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,43.5 mm,1.52 inç,16 mm,67.5 gr,Missing,750 mAh,Missing,2008,"259,00 TL"
704,6.44 inç,Fluid AMOLED,85.5 %,Qualcomm SDM765 Snapdragon 765G,2.4 GHz,Adreno 620,8 GB RAM,Android 10.0,7 nm,625 MHz,LPDDR4x,48 MP,32 MP,73.3 mm,6.44 inç,8.2 mm,184 gr,USB Type-C,4115 mAh,128 GB,2020,"3.909,22 TL"
705,6.58 inç,IPS LCD,84.5 %,Qualcomm SDM665 Snapdragon 665,2.0 GHz,Adreno 610,8 GB RAM,Android 11,11 nm,Missing,LPDDR4x,48 MP,16 MP,75.3 mm,6.58 inç,8.4 mm,188 gr,USB Type-C,5000 mAh,128 GB,2020,"3.599,00 TL"
